City,Date,Target,Type,Real,Mkt,Ours,Edge,Signal,Result,Correct,P&L
Kuala Lumpur,2026-04-16,26°C,lte_c,34.0°C,0.011,0.05,0.039,SKIP,NO,,0.0
Kuala Lumpur,2026-04-16,27°C,exact_c,34.0°C,0.021,0.02,-0.001,SKIP,NO,,0.0
Kuala Lumpur,2026-04-16,28°C,exact_c,34.0°C,0.025,0.02,-0.005,SKIP,NO,,0.0
Kuala Lumpur,2026-04-16,29°C,exact_c,34.0°C,0.014,0.02,0.006,SKIP,NO,,0.0
Kuala Lumpur,2026-04-16,30°C,exact_c,34.0°C,0.015,0.02,0.005,SKIP,NO,,0.0
Kuala Lumpur,2026-04-16,31°C,exact_c,34.0°C,0.07,0.02,-0.05,SKIP,NO,,0.0
Kuala Lumpur,2026-04-16,32°C,exact_c,34.0°C,0.315,0.02,-0.295,BUY NO,NO,True,31.5
Kuala Lumpur,2026-04-16,33°C,exact_c,34.0°C,0.395,0.1,-0.295,BUY NO,NO,True,39.5
Kuala Lumpur,2026-04-16,34°C,exact_c,34.0°C,0.295,0.9,0.605,BUY YES,YES,True,70.5
Kuala Lumpur,2026-04-16,35°C,exact_c,34.0°C,0.028,0.1,0.073,BUY YES,NO,False,-2.75
Kuala Lumpur,2026-04-16,36°C,gte_c,34.0°C,0.018,0.05,0.033,SKIP,NO,,0.0
Jeddah,2026-04-16,31°C,exact_c,36.5°C,0.04,0.02,-0.02,SKIP,NO,,0.0
Jeddah,2026-04-16,32°C,exact_c,36.5°C,0.011,0.02,0.009,SKIP,NO,,0.0
Jeddah,2026-04-16,33°C,exact_c,36.5°C,0.011,0.02,0.009,SKIP,NO,,0.0
Jeddah,2026-04-16,34°C,exact_c,36.5°C,0.079,0.02,-0.059,BUY NO,NO,True,7.9
Jeddah,2026-04-16,35°C,exact_c,36.5°C,0.155,0.02,-0.135,BUY NO,NO,True,15.5
Jeddah,2026-04-16,36°C,exact_c,36.5°C,0.27,0.1,-0.17,BUY NO,NO,True,27.0
Jeddah,2026-04-16,37°C,exact_c,36.5°C,0.22,0.1,-0.12,BUY NO,NO,True,22.0
Jeddah,2026-04-16,38°C,exact_c,36.5°C,0.135,0.02,-0.115,BUY NO,NO,True,13.5
Jeddah,2026-04-16,39°C,exact_c,36.5°C,0.086,0.02,-0.066,BUY NO,NO,True,8.6
Jeddah,2026-04-16,40°C,gte_c,36.5°C,0.029,0.05,0.021,SKIP,NO,,0.0
Wellington,2026-04-16,15°C,exact_c,16.1°C,0.013,0.1,0.087,BUY YES,NO,False,-1.3
Wellington,2026-04-16,16°C,exact_c,16.1°C,0.094,0.9,0.806,BUY YES,YES,True,90.6
Wellington,2026-04-16,17°C,exact_c,16.1°C,0.355,0.1,-0.255,BUY NO,NO,True,35.5
Wellington,2026-04-16,18°C,exact_c,16.1°C,0.525,0.02,-0.505,BUY NO,NO,True,52.5
Wellington,2026-04-16,19°C,exact_c,16.1°C,0.214,0.02,-0.195,BUY NO,NO,True,21.45
Wellington,2026-04-16,21°C,gte_c,16.1°C,0.011,0.05,0.039,SKIP,NO,,0.0
Los Angeles,2026-04-16,74°F,gte_f,24.4°C,0.053,0.55,0.497,BUY YES,YES,True,94.7
Beijing,2026-04-16,18°C,lte_c,18.8°C,0.535,0.05,-0.485,BUY NO,NO,True,53.5
Beijing,2026-04-16,19°C,exact_c,18.8°C,0.205,0.9,0.695,BUY YES,YES,True,79.5
Beijing,2026-04-16,20°C,exact_c,18.8°C,0.125,0.1,-0.025,SKIP,NO,,0.0
Beijing,2026-04-16,21°C,exact_c,18.8°C,0.045,0.02,-0.025,SKIP,NO,,0.0
Beijing,2026-04-16,22°C,exact_c,18.8°C,0.018,0.02,0.002,SKIP,NO,,0.0
Beijing,2026-04-16,23°C,exact_c,18.8°C,0.011,0.02,0.009,SKIP,NO,,0.0
Beijing,2026-04-16,24°C,exact_c,18.8°C,0.012,0.02,0.008,SKIP,NO,,0.0
Beijing,2026-04-16,26°C,exact_c,18.8°C,0.011,0.02,0.009,SKIP,NO,,0.0
Shanghai,2026-04-16,16°C,exact_c,20.7°C,0.11,0.02,-0.09,BUY NO,NO,True,11.0
Shanghai,2026-04-16,17°C,exact_c,20.7°C,0.053,0.02,-0.034,SKIP,NO,,0.0
Shanghai,2026-04-16,18°C,exact_c,20.7°C,0.21,0.02,-0.19,BUY NO,NO,True,21.0
Shanghai,2026-04-16,19°C,exact_c,20.7°C,0.4,0.02,-0.38,BUY NO,NO,True,40.0
Shanghai,2026-04-16,20°C,exact_c,20.7°C,0.205,0.1,-0.105,BUY NO,NO,True,20.5
Shanghai,2026-04-16,21°C,exact_c,20.7°C,0.056,0.9,0.844,BUY YES,YES,True,94.4
Shanghai,2026-04-16,22°C,gte_c,20.7°C,0.018,0.05,0.032,SKIP,NO,,0.0
Helsinki,2026-04-16,5°C,exact_c,12.1°C,0.011,0.02,0.009,SKIP,NO,,0.0
Helsinki,2026-04-16,8°C,exact_c,12.1°C,0.025,0.02,-0.005,SKIP,NO,,0.0
Helsinki,2026-04-16,9°C,exact_c,12.1°C,0.016,0.02,0.004,SKIP,NO,,0.0
Helsinki,2026-04-16,10°C,exact_c,12.1°C,0.025,0.02,-0.005,SKIP,NO,,0.0
Helsinki,2026-04-16,11°C,exact_c,12.1°C,0.335,0.1,-0.235,BUY NO,NO,True,33.5
Helsinki,2026-04-16,12°C,exact_c,12.1°C,0.325,0.9,0.575,BUY YES,YES,True,67.5
Helsinki,2026-04-16,13°C,gte_c,12.1°C,0.225,0.05,-0.175,BUY NO,NO,True,22.5
Singapore,2026-04-16,28°C,exact_c,32.1°C,0.016,0.02,0.004,SKIP,NO,,0.0
Singapore,2026-04-16,30°C,exact_c,32.1°C,0.062,0.02,-0.042,SKIP,NO,,0.0
Singapore,2026-04-16,31°C,exact_c,32.1°C,0.26,0.1,-0.16,BUY NO,NO,True,26.0
Singapore,2026-04-16,32°C,exact_c,32.1°C,0.405,0.9,0.495,BUY YES,YES,True,59.5
Singapore,2026-04-16,33°C,exact_c,32.1°C,0.195,0.1,-0.095,BUY NO,NO,True,19.5
Singapore,2026-04-16,34°C,gte_c,32.1°C,0.082,0.05,-0.032,SKIP,NO,,0.0
Chicago,2026-04-16,61°F,lte_f,20.6°C,0.015,0.05,0.036,SKIP,NO,,0.0
Chicago,2026-04-16,80°F,gte_f,20.6°C,0.015,0.05,0.036,SKIP,NO,,0.0
Lagos,2026-04-16,28°C,lte_c,30.6°C,0.103,0.05,-0.053,BUY NO,NO,True,10.35
Lagos,2026-04-16,29°C,exact_c,30.6°C,0.045,0.02,-0.025,SKIP,NO,,0.0
Lagos,2026-04-16,30°C,exact_c,30.6°C,0.018,0.1,0.082,BUY YES,NO,False,-1.8
Lagos,2026-04-16,31°C,exact_c,30.6°C,0.06,0.9,0.84,BUY YES,YES,True,93.95
Lagos,2026-04-16,32°C,exact_c,30.6°C,0.025,0.1,0.076,BUY YES,NO,False,-2.45
Lagos,2026-04-16,33°C,exact_c,30.6°C,0.24,0.02,-0.22,BUY NO,NO,True,24.0
Lagos,2026-04-16,34°C,exact_c,30.6°C,0.215,0.02,-0.195,BUY NO,NO,True,21.5
Lagos,2026-04-16,35°C,exact_c,30.6°C,0.19,0.02,-0.17,BUY NO,NO,True,19.0
Lagos,2026-04-16,36°C,exact_c,30.6°C,0.025,0.02,-0.005,SKIP,NO,,0.0
Lagos,2026-04-16,37°C,exact_c,30.6°C,0.018,0.02,0.002,SKIP,NO,,0.0
Houston,2026-04-16,94°F,gte_f,28.4°C,0.022,0.05,0.028,SKIP,NO,,0.0
